Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,,,,,,,,,Value new (USD),Value used (USD),Launch date,Exit date
"31203-1","Art","Miscellaneous",2021,"World Map",,11695,214.99,249.99,349.99,249.99,5702016914900,673419341196,55.2,38.4,15.2,,"",0,0,0,,0,0,,,,,,,,,248.1000,221.3400,"01/06/2021","31/12/2023"
"10307-1","Icons","Landmarks",2022,"Eiffel Tower",,10001,554.99,629.99,799.99,629.99,5702017153292,673419355797,58.5,47.5,38.5,,"",0,0,0,,0,0,,,,,,,,,586.9600,471.6200,"25/11/2022","31/12/2025"
"10294-1","Icons","Miscellaneous",2021,"Titanic",,9090,589.99,679.99,849.99,679.99,5702016914320,673419340335,58.5,47.5,38.5,,"",0,0,0,,0,0,,,,,,,,,680.1000,483.2800,"08/11/2021","31/12/2024"
"10276-1","Icons","Landmarks",2020,"Colosseum",,9036,474.99,549.99,649.99,549.99,5702016668032,673419322201,53.5,48.4,28.4,,"",0,0,0,,0,0,,,,,,,,,500.2700,419.5000,"27/11/2020","31/12/2023"
"75192-1","Star Wars","Ultimate Collector Series",2017,"Millennium Falcon",8,7541,734.99,849.99,1049.99,849.99,5702015869935,673419267656,53.3,46,38.5,,"",0,0,0,,0,0,,,,,,,,,649.1200,585.4500,"01/10/2017","31/12/2024"
"75313-1","Star Wars","Ultimate Collector Series",2021,"AT-AT",9,6785,734.99,849.99,1049.99,849.99,5702016913866,673419340618,49.9,49.9,37.9,,"",0,0,0,,0,0,,,,,,,,,711.4000,668.2200,"26/11/2021","31/12/2024"
"75331-1","Star Wars","Ultimate Collector Series",2022,"The Razor Crest",4,6187,519.99,599.99,759.99,599.99,5702017155579,673419357517,52.3,48,23.8,,"",0,0,0,,0,0,,,,,,,,,520.2600,430.6200,"03/10/2022","31/12/2025"
"10316-1","Icons","Licensed",2023,"The Lord of the Rings: Rivendell",21,6167,429.99,499.99,669.99,499.99,5702017416892,673419375306,75,39,50,,"",0,0,0,,0,0,,,,,,,,,425.0100,450.0000,"05/03/2023","31/12/2025"
"71799-1","Ninjago","Dragons Rising",2023,"NINJAGO City Markets",21,6163,319.99,369.99,479.99,369.99,5702017435787,673419379892,52.3,48,21.8,,"",0,0,0,,0,0,,,,,,,,,343.2500,,"01/06/2023","31/12/2026"
"71043-1","Harry Potter","Miscellaneous",2018,"Hogwarts Castle",28,6020,409.99,469.99,589.99,469.99,5702016110319,673419281911,58.5,49,19,,"",0,0,0,,0,0,,,,,,,,,362.6300,268.5400,"01/09/2018","31/12/2025"
"10256-1","Creator Expert","Landmarks",2017,"Taj Mahal",,5923,299.99,369.99,449.99,321.67,5702016173536,,58.5,49,19,,"",0,0,0,,0,0,,,,,,,,,395.5700,246.4400,"01/12/2017","31/12/2020"
"10189-1","Advanced models","Landmarks",2008,"Taj Mahal",,5922,199.99,299.99,399.99,,5702014518551,,65.2,48,12.7,,"",0,0,0,,0,0,,,,,,,,,678.8800,227.5000,"01/10/2008","31/12/2010"
"10299-1","Icons","Stadiums",2022,"Real Madrid - Santiago Bernabéu Stadium",,5876,344.99,399.99,499.99,399.99,5702017153179,673419355674,52.3,48,21.8,,"",0,0,0,,0,0,,,,,,,,,336.8000,,"01/03/2022","31/12/2023"
"71741-1","Ninjago","General",2021,"NINJAGO City Gardens",22,5685,299.99,349.99,449.99,349.99,5702016912692,673419339407,48,58.2,17,,"",0,0,0,,0,0,,,,,,,,,267.4900,233.3800,"01/02/2021","31/12/2024"
